fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
ES:Euskotren:Fare:3028:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3037:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3046:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3056:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3066:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3076:,1.80,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3106:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3185:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:32562:,1.50,EUR,1,1,ES:Euskotren:Operator:EUS_TrBi:,
ES:Euskotren:Fare:3302:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3329:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3374:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3455:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3473:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3511:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36415:,1.85,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36451:,1.85,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36469:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36479:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36489:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36499:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36509:,1.80,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36519:,1.80,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36618:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36627:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36636:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36744:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36762:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36789:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36897:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:36944:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37087:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37128:,1.85,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37182:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37191:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37201:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37211:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37221:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37340:,4.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37349:,4.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37457:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37475:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3752:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37565:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37610:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37848:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37852:,1.70,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37910:,1.85,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37955:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37965:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:37995:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:38025:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:38374:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:38612:,1.90,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:3900:,3.40,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:41712:,1.50,EUR,1,1,ES:Euskotren:Operator:EUS_TrGa:,
ES:Euskotren:Fare:46772:,1.75,EUR,1,1,ES:Euskotren:Operator:EUS_Funi:,
ES:Euskotren:Fare:5870:,2.00,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:5978:,2.45,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:793:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:833:,6.50,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
ES:Euskotren:Fare:885:,1.85,EUR,1,1,ES:Euskotren:Operator:EUS_Tren:,
