service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2024-07-162024-08-01002641,1,1,1,1,1,1,1,20240716,20240801                                                                                                                                                                                                                                                                                                    
2024-08-022024-09-01002641,1,1,1,1,1,1,1,20240802,20240901                                                                                                                                                                                                                                                                                                    
2024-09-022024-09-10002641,1,1,1,1,1,1,1,20240902,20240910                                                                                                                                                                                                                                                                                                    
2024-09-112024-12-07002641,1,1,1,1,1,1,1,20240911,20241207                                                                                                                                                                                                                                                                                                    
2024-07-162024-08-01002643,1,1,1,1,1,1,1,20240716,20240801                                                                                                                                                                                                                                                                                                    
2024-08-022024-08-02002643,1,1,1,1,1,1,1,20240802,20240802                                                                                                                                                                                                                                                                                                    
2024-08-032024-08-06002643,1,1,1,1,1,1,1,20240803,20240806                                                                                                                                                                                                                                                                                                    
2024-08-072024-08-07002643,1,1,1,1,1,1,1,20240807,20240807                                                                                                                                                                                                                                                                                                    
2024-08-082024-08-08002643,1,1,1,1,1,1,1,20240808,20240808                                                                                                                                                                                                                                                                                                    
2024-08-092024-08-09002643,1,1,1,1,1,1,1,20240809,20240809                                                                                                                                                                                                                                                                                                    
2024-08-102024-08-13002643,1,1,1,1,1,1,1,20240810,20240813                                                                                                                                                                                                                                                                                                    
2024-08-142024-08-14002643,1,1,1,1,1,1,1,20240814,20240814                                                                                                                                                                                                                                                                                                    
2024-08-152024-08-15002643,1,1,1,1,1,1,1,20240815,20240815                                                                                                                                                                                                                                                                                                    
2024-08-162024-08-16002643,1,1,1,1,1,1,1,20240816,20240816                                                                                                                                                                                                                                                                                                    
2024-08-172024-08-20002643,1,1,1,1,1,1,1,20240817,20240820                                                                                                                                                                                                                                                                                                    
2024-08-212024-08-21002643,1,1,1,1,1,1,1,20240821,20240821                                                                                                                                                                                                                                                                                                    
2024-08-222024-08-22002643,1,1,1,1,1,1,1,20240822,20240822                                                                                                                                                                                                                                                                                                    
2024-08-232024-08-23002643,1,1,1,1,1,1,1,20240823,20240823                                                                                                                                                                                                                                                                                                    
2024-08-242024-08-27002643,1,1,1,1,1,1,1,20240824,20240827                                                                                                                                                                                                                                                                                                    
2024-08-282024-08-28002643,1,1,1,1,1,1,1,20240828,20240828                                                                                                                                                                                                                                                                                                    
2024-08-292024-08-29002643,1,1,1,1,1,1,1,20240829,20240829                                                                                                                                                                                                                                                                                                    
2024-08-302024-08-30002643,1,1,1,1,1,1,1,20240830,20240830                                                                                                                                                                                                                                                                                                    
2024-08-312024-09-01002643,1,1,1,1,1,1,1,20240831,20240901                                                                                                                                                                                                                                                                                                    
2024-09-022024-09-03002643,1,1,1,1,1,1,1,20240902,20240903                                                                                                                                                                                                                                                                                                    
2024-09-042024-09-04002643,1,1,1,1,1,1,1,20240904,20240904                                                                                                                                                                                                                                                                                                    
2024-09-052024-09-05002643,1,1,1,1,1,1,1,20240905,20240905                                                                                                                                                                                                                                                                                                    
2024-09-062024-09-06002643,1,1,1,1,1,1,1,20240906,20240906                                                                                                                                                                                                                                                                                                    
2024-09-072024-09-10002643,1,1,1,1,1,1,1,20240907,20240910                                                                                                                                                                                                                                                                                                    
2024-09-112024-09-11002643,1,1,1,1,1,1,1,20240911,20240911                                                                                                                                                                                                                                                                                                    
2024-09-122024-12-07002643,1,1,1,1,1,1,1,20240912,20241207                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-15002761,1,1,1,1,1,1,1,20240716,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-15002762,1,1,1,1,1,1,1,20240716,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-15002771,1,1,1,1,1,1,1,20240716,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-15002772,1,1,1,1,1,1,1,20240716,20240915                                                                                                                                                                                                                                                                                                    
2024-07-162024-12-07002801,1,1,1,1,1,1,1,20240716,20241207                                                                                                                                                                                                                                                                                                    
2024-12-082024-12-14002801,1,1,1,1,1,1,1,20241208,20241214                                                                                                                                                                                                                                                                                                    
2024-07-162024-07-26002811,1,1,1,1,1,1,1,20240716,20240726                                                                                                                                                                                                                                                                                                    
2024-07-272024-07-28002811,1,1,1,1,1,1,1,20240727,20240728                                                                                                                                                                                                                                                                                                    
2024-07-292024-08-21002811,1,1,1,1,1,1,1,20240729,20240821                                                                                                                                                                                                                                                                                                    
2024-08-222024-09-02002811,1,1,1,1,1,1,1,20240822,20240902                                                                                                                                                                                                                                                                                                    
2024-09-032024-12-07002811,1,1,1,1,1,1,1,20240903,20241207                                                                                                                                                                                                                                                                                                    
2024-12-082024-12-14002811,1,1,1,1,1,1,1,20241208,20241214                                                                                                                                                                                                                                                                                                    
2024-07-162024-07-26002821,1,1,1,1,1,1,1,20240716,20240726                                                                                                                                                                                                                                                                                                    
2024-07-272024-07-28002821,1,1,1,1,1,1,1,20240727,20240728                                                                                                                                                                                                                                                                                                    
2024-07-292024-08-21002821,1,1,1,1,1,1,1,20240729,20240821                                                                                                                                                                                                                                                                                                    
2024-08-222024-09-02002821,1,1,1,1,1,1,1,20240822,20240902                                                                                                                                                                                                                                                                                                    
2024-09-032024-12-07002821,1,1,1,1,1,1,1,20240903,20241207                                                                                                                                                                                                                                                                                                    
2024-12-082024-12-14002821,1,1,1,1,1,1,1,20241208,20241214                                                                                                                                                                                                                                                                                                    
2024-07-162024-12-07002831,1,1,1,1,1,1,1,20240716,20241207                                                                                                                                                                                                                                                                                                    
2024-12-082024-12-14002831,1,1,1,1,1,1,1,20241208,20241214                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-30004201,1,1,1,1,1,1,1,20240716,20240930                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-30004211,1,1,1,1,1,1,1,20240716,20240930                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-30004221,1,1,1,1,1,1,1,20240716,20240930                                                                                                                                                                                                                                                                                                    
2024-07-162024-09-30004231,1,1,1,1,1,1,1,20240716,20240930                                                                                                                                                                                                                                                                                                    
2024-07-162024-12-07004371,1,1,1,1,1,1,1,20240716,20241207                                                                                                                                                                                                                                                                                                    
2024-12-082024-12-14004371,1,1,1,1,1,1,1,20241208,20241214                                                                                                                                                                                                                                                                                                    
2024-07-162024-12-07004372,1,1,1,1,1,1,1,20240716,20241207                                                                                                                                                                                                                                                                                                    
2024-12-082024-12-14004372,1,1,1,1,1,1,1,20241208,20241214                                                                                                                                                                                                                                                                                                    
2024-07-162024-12-07004373,1,1,1,1,1,1,1,20240716,20241207                                                                                                                                                                                                                                                                                                    
2024-12-082024-12-14004373,1,1,1,1,1,1,1,20241208,20241214                                                                                                                                                                                                                                                                                                    
2024-07-162024-12-07004381,1,1,1,1,1,1,1,20240716,20241207                                                                                                                                                                                                                                                                                                    
2024-12-082024-12-14004381,1,1,1,1,1,1,1,20241208,20241214                                                                                                                                                                                                                                                                                                    
2024-07-162024-12-07004382,1,1,1,1,1,1,1,20240716,20241207                                                                                                                                                                                                                                                                                                    
2024-12-082024-12-14004382,1,1,1,1,1,1,1,20241208,20241214                                                                                                                                                                                                                                                                                                    
2024-07-162024-12-07004383,1,1,1,1,1,1,1,20240716,20241207                                                                                                                                                                                                                                                                                                    
2024-12-082024-12-14004383,1,1,1,1,1,1,1,20241208,20241214                                                                                                                                                                                                                                                                                                    
2024-07-162024-12-07004601,1,1,1,1,1,1,1,20240716,20241207                                                                                                                                                                                                                                                                                                    
2024-07-162024-12-07004631,1,1,1,1,1,1,1,20240716,20241207                                                                                                                                                                                                                                                                                                    
2024-07-162024-08-01005301,1,1,1,1,1,1,1,20240716,20240801                                                                                                                                                                                                                                                                                                    
2024-08-022024-08-04005301,1,1,1,1,1,1,1,20240802,20240804                                                                                                                                                                                                                                                                                                    
2024-08-052024-08-20005301,1,1,1,1,1,1,1,20240805,20240820                                                                                                                                                                                                                                                                                                    
2024-08-212024-08-22005301,1,1,1,1,1,1,1,20240821,20240822                                                                                                                                                                                                                                                                                                    
2024-08-232024-08-25005301,1,1,1,1,1,1,1,20240823,20240825                                                                                                                                                                                                                                                                                                    
2024-08-262024-09-02005301,1,1,1,1,1,1,1,20240826,20240902                                                                                                                                                                                                                                                                                                    
2024-09-032024-12-07005301,1,1,1,1,1,1,1,20240903,20241207                                                                                                                                                                                                                                                                                                    
2024-12-082024-12-14005301,1,1,1,1,1,1,1,20241208,20241214                                                                                                                                                                                                                                                                                                    
2024-07-162024-08-01005302,1,1,1,1,1,1,1,20240716,20240801                                                                                                                                                                                                                                                                                                    
2024-08-022024-08-04005302,1,1,1,1,1,1,1,20240802,20240804                                                                                                                                                                                                                                                                                                    
2024-08-052024-08-20005302,1,1,1,1,1,1,1,20240805,20240820                                                                                                                                                                                                                                                                                                    
2024-08-212024-08-21005302,1,1,1,1,1,1,1,20240821,20240821                                                                                                                                                                                                                                                                                                    
2024-08-222024-08-22005302,1,1,1,1,1,1,1,20240822,20240822                                                                                                                                                                                                                                                                                                    
